市町村コード,都道府県名及び市町村名,NO,施設・場所名,住所,洪水,崖崩れ、土石流及び地滑り,高潮,地震,津波,大規模な火事,内水氾濫,火山現象,指定避難所との住所同一,緯度,経度,備考
01202,北海道函館市,1,市営旭町団地,北海道函館市旭町1-14,,,,,1,,,,,41.7656663,140.7289806,
01202,北海道函館市,2,道営住宅旭森団地１号棟,北海道函館市旭町8-1,,,,,1,,,,,41.76750772,140.7271259,
01202,北海道函館市,3,安浦稲荷神社境内,北海道函館市安浦町302,,,,,1,,,,,41.91473659,140.9593307,
01202,北海道函館市,4,もと臼尻小学校グラウンド,北海道函館市臼尻町595,,,,,1,,,,,41.93057757,140.9406804,
01202,北海道函館市,5,臼尻町６０番地裏　高台（尾札部バイパス）,北海道函館市臼尻町60,,,,,1,,,,,41.92687148,140.9492002,
01202,北海道函館市,6,南茅部スポーツセンター,北海道函館市臼尻町604-1,,1,,1,1,,,,1,41.93193267,140.939788,
01202,北海道函館市,7,函館港湾合同庁舎,北海道函館市海岸町24-4,,,,,1,,,,,41.78267232,140.7244928,
01202,北海道函館市,8,戸井学園,北海道函館市釜谷町227,,1,,1,1,,,,1,41.73853947,140.9316806,
01202,北海道函館市,9,公立はこだて未来大学,北海道函館市亀田中野町116-2,,1,,1,,,,,1,41.84175816,140.7669862,
01202,北海道函館市,10,キッズ・サポート＆プロテクト体育館,北海道函館市亀田中野町335-1,,1,,1,,,,,,41.86183945,140.7810219,
11365,埼玉県小鹿野町,2,奈倉会館,埼玉県小鹿野町下小鹿野124,,1,,1,,,,,,36.02164199,139.042767,
11365,埼玉県小鹿野町,3,信濃石会館,埼玉県小鹿野町下小鹿野1381-1,,1,,1,,,,,,36.01240544,139.0254756,
11365,埼玉県小鹿野町,4,三嶋会館,埼玉県小鹿野町下小鹿野2173-2,,1,,1,,,,,,36.01486278,139.0160923,
11365,埼玉県小鹿野町,5,泉田会館,埼玉県小鹿野町下小鹿野634-1,,1,,1,,,,,,36.01718836,139.0369036,
11365,埼玉県小鹿野町,6,三田川第１１区集会所,埼玉県小鹿野町河原沢996-1,,1,,1,,,,,,36.05127192,138.873841,
11365,埼玉県小鹿野町,7,納宮休憩所,埼玉県小鹿野町三山2372,,1,,1,,,,,,36.04089881,138.8946409,
11365,埼玉県小鹿野町,8,小鹿野中学校及び体育館,埼玉県小鹿野町小鹿野146,,1,,1,,,,,1,36.0175418,139.0057659,
11365,埼玉県小鹿野町,9,小鹿野文化センター,埼玉県小鹿野町小鹿野167-1,,1,,1,,,,,1,36.01784984,139.0060424,
11365,埼玉県小鹿野町,10,春日町会館,埼玉県小鹿野町小鹿野1907-1,,1,,1,,,,,,36.01971997,139.0080627,
11365,埼玉県小鹿野町,11,小鹿野小学校及び体育館,埼玉県小鹿野町小鹿野2678,,1,,1,,,,,,36.01856576,139.0099102,
11365,埼玉県小鹿野町,12,おがのこども園,埼玉県小鹿野町小鹿野2743,,1,,1,,,,,,36.01812595,139.0114838,
11365,埼玉県小鹿野町,13,おがの保育所,埼玉県小鹿野町小鹿野2744,,1,,1,,,,,,36.01807822,139.0108991,
11365,埼玉県小鹿野町,14,中島公会堂,埼玉県小鹿野町小鹿野49,,1,,1,,,,,,36.0161637,139.0114175,
11365,埼玉県小鹿野町,15,原町文化会館,埼玉県小鹿野町小鹿野564-1,,1,,1,,,,,,36.0227278,138.9974942,
11365,埼玉県小鹿野町,16,小鹿野高等学校体育館,埼玉県小鹿野町小鹿野962-1,,1,,1,,,,,1,36.02404919,138.9973202,
11365,埼玉県小鹿野町,17,旗居集会所,埼玉県小鹿野町長留1541-1,,1,,1,,,,,,35.99383563,139.030376,
